web-scraper-order,web-scraper-start-url,link_toko,link_toko-href,nama_toko,Jml_produk,chat,follower,rating_toko,bergabung,promo,alamat_toko,link_produk,link_produk-href,nama_produk,promo_produk,terjual,gratis_ongkir,favorit
"1668861465-1","https://shopee.co.id/mall/brands/11042849","69Slam","https://shopee.co.id/69slam","","439","45% (hitungan jam)","7,4RB","4.8 (1,7RB penilaian)","24 bulan lalu","null","KAB. BADUNG","30%off69slam Sandal pria ARSIKI-ATMurah LebayRp285.000Rp200.000108 TerjualKAB. BADUNG","https://shopee.co.id/69slam-Sandal-pria-ARSIKI-AT-i.340815435.12428025981?sp_atk=e36e8fad-93c5-407e-ac98-965ca69683f5&xptdk=e36e8fad-93c5-407e-ac98-965ca69683f5","null","null","null","null","null"
"1668861549-2","https://shopee.co.id/mall/brands/11042849","4CM","https://shopee.co.id/4cmstore","","508","39% (hitungan jam)","60,8RB","4.7 (28,5RB penilaian)","5 tahun lalu","null","KOTA DEPOK","30%off4CM Boxer black fireMurah LebayRp99.000Rp69.30010RB+ TerjualKOTA DEPOK","https://shopee.co.id/4CM-Boxer-black-fire-i.32984432.7155464356?sp_atk=0b6baaf8-11e4-4596-8a66-a7d08fd21599&xptdk=0b6baaf8-11e4-4596-8a66-a7d08fd21599","null","null","null","null","null"
"1668861600-3","https://shopee.co.id/mall/brands/11042849","4.20","https://shopee.co.id/4.20official","","121","81% (hitungan jam)","50,8RB","4.9 (7,2RB penilaian)","4 tahun lalu","null","KOTA BANDUNG","40%off4.20 T-Shirt Philosophy Mandala NavyPilih 2, bayar Rp170.000Rp102.000 - Rp170.000321 TerjualKOTA BANDUNG","https://shopee.co.id/4.20-T-Shirt-Philosophy-Mandala-Navy-i.87828273.10739275158?sp_atk=87c4e979-fc8b-4a29-a233-ba0b411e97c6&xptdk=87c4e979-fc8b-4a29-a233-ba0b411e97c6","null","null","null","null","null"
"1668861731-4","https://shopee.co.id/mall/brands/11042849","3Second","https://shopee.co.id/3secondshop","","9,2RB","86% (hitungan jam)","451,2RB","4.9 (115,8RB penilaian)","6 tahun lalu","null","KOTA BANDUNG","40%off3Second Men Jacket 021021Diskon Rp15RBRp449.500Rp269.70049 TerjualKOTA BANDUNG","https://shopee.co.id/3Second-Men-Jacket-021021-i.18358818.11761195939?sp_atk=c253ec6c-0733-4ac4-9377-35151ffb3b2b&xptdk=c253ec6c-0733-4ac4-9377-35151ffb3b2b","null","null","null","null","null"
"1668861955-5","https://shopee.co.id/mall/brands/11042849","308ABSLTUNSCRD","https://shopee.co.id/308absltunscrd","","3,2RB","88% (hitungan jam)","64,5RB","4.8 (21,4RB penilaian)","4 tahun lalu","null","KAB. SLEMAN","10%off308 ABSLTUNSCRD - Bracelete Rubber Au Small Circle - BlackRp20.000Rp18.000216 TerjualKAB. SLEMAN","https://shopee.co.id/308-ABSLTUNSCRD-Bracelete-Rubber-Au-Small-Circle-Black-i.93881215.3918271445?sp_atk=3cc3ad56-bd70-4a71-a7f3-04979da3fd36&xptdk=3cc3ad56-bd70-4a71-a7f3-04979da3fd36","null","null","null","null","null"
"1668861996-6","https://shopee.co.id/mall/brands/11042849","3'NThree","https://shopee.co.id/3nthreeofficial","","241","90% (hitungan jam)","7,1RB","4.8 (378 penilaian)","3 tahun lalu","null","KOTA TANGERANG","40%off3Nthree kemeja koko Pria Muslim originalDiskon Rp2,5RBMurah LebayRp249.000Rp149.40032 TerjualKOTA TANGERANG","https://shopee.co.id/3Nthree-kemeja-koko-Pria-Muslim-original-i.184001696.15666321843?sp_atk=5cf43d00-9252-49b7-9252-c5fe671dfad1&xptdk=5cf43d00-9252-49b7-9252-c5fe671dfad1","null","null","null","null","null"
"1668862101-7","https://shopee.co.id/mall/brands/11042849","2FAB4YOU","https://shopee.co.id/2fab4you","","149","40% (hitungan menit)","1,9RB","4.9 (426 penilaian)","4 tahun lalu","null","KOTA JAKARTA BARAT","2FAB4YOU T-shirt OG FLAMINGO White/Putih - Pria/WanitaRp199.00013 TerjualKOTA JAKARTA BARAT","https://shopee.co.id/2FAB4YOU-T-shirt-OG-FLAMINGO-White-Putih-Pria-Wanita-i.73775993.2881168942?sp_atk=6a2d6633-3e26-4a50-a64d-231fb8d04519&xptdk=6a2d6633-3e26-4a50-a64d-231fb8d04519","null","null","null","null","null"
"1668862223-8","https://shopee.co.id/mall/brands/11042849","07:35","https://shopee.co.id/0735_apparel","","52","73% (hitungan jam)","9,3RB","4.9 (1,4RB penilaian)","27 bulan lalu","null","KOTA JAKARTA UTARA","07:35 - Random SaleRp73.500243 TerjualKOTA JAKARTA UTARA","https://shopee.co.id/07-35-Random-Sale-i.298491252.9975420944?sp_atk=07b56bf1-c359-4825-b0bc-44de299f2510&xptdk=07b56bf1-c359-4825-b0bc-44de299f2510","null","null","null","null","null"
"1668862573-9","https://shopee.co.id/mall/brands/11042849","Zweckout Label","https://shopee.co.id/zweckout_label.official","","81","95% (hitungan jam)","15,4RB","4.6 (16,1RB penilaian)","5 tahun lalu","null","KAB. BANDUNG","45%offZWECKOUT LABEL - Celana Joger Slim Fit Skinny Jogger Pants Pria Korean Style HitamDiskon Rp5RBMurah LebayRp160.000Rp87.90010RB+ TerjualKAB. BANDUNG","https://shopee.co.id/ZWECKOUT-LABEL-Celana-Joger-Slim-Fit-Skinny-Jogger-Pants-Pria-Korean-Style-Hitam-i.59825614.6716661856?sp_atk=324ad3aa-ebac-4da6-893c-9adf8a217eaa&xptdk=324ad3aa-ebac-4da6-893c-9adf8a217eaa","null","null","null","null","null"
"1668862624-10","https://shopee.co.id/mall/brands/11042849","Zhon Army","https://shopee.co.id/zhonarmy","","37","70% (hitungan jam)","4,2RB","4.5 (212 penilaian)","4 bulan lalu","null","KAB. BANDUNG","ZHON ARMY - Ciel UnderPants - Cd Boxer Pria RandomDiskon Rp50RBRp50.000 - Rp200.000465 TerjualKAB. BANDUNG","https://shopee.co.id/ZHON-ARMY-Ciel-UnderPants-Cd-Boxer-Pria-Random-i.832121891.16581051299?sp_atk=86f0d754-4402-42ce-a42f-1dbe6580005b&xptdk=86f0d754-4402-42ce-a42f-1dbe6580005b","null","null","null","null","null"
"1668862670-11","https://shopee.co.id/mall/brands/11042849","ZG Zegoboss","https://shopee.co.id/zgzegoboss","","54","87% (hitungan jam)","5,1RB","4.8 (1RB penilaian)","26 bulan lalu","null","KOTA JAKARTA PUSAT","ZEGO BOSS Celana Panjang Jeans Stretch Denim Regular Fit (Solid Black)Murah LebayRp565.000443 TerjualKOTA JAKARTA PUSAT","https://shopee.co.id/ZEGO-BOSS-Celana-Panjang-Jeans-Stretch-Denim-Regular-Fit-(Solid-Black)-i.307319831.7351957312?sp_atk=4ac2ad6b-f90b-4264-bef4-c53897f4f283&xptdk=4ac2ad6b-f90b-4264-bef4-c53897f4f283","null","null","null","null","null"
"1668862707-12","https://shopee.co.id/mall/brands/11042849","ZeroTwentyTwo","https://shopee.co.id/zerotwentytwo.id","","715","85% (hitungan jam)","72RB","4.8 (18,9RB penilaian)","3 tahun lalu","null","KOTA BANDUNG","46%offZeroTwentyTwo T-shirt Transfer Black | Kaos Pria Parodi Plesetan Lucu ThrasherDiskon Rp2RBPilih 2, bayar Rp189.000Rp175.000Rp95.250874 TerjualKOTA BANDUNG","https://shopee.co.id/ZeroTwentyTwo-T-shirt-Transfer-Black-Kaos-Pria-Parodi-Plesetan-Lucu-Thrasher-i.175877695.7115926408?sp_atk=2b674154-0b41-454c-9167-299bc3a54cb5&xptdk=2b674154-0b41-454c-9167-299bc3a54cb5","null","null","null","null","null"
